Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Can Media Literacy Intervention Improve Fake News Credibility Assessment? A Meta-Analysis,"Lu, C; Hu, B; Bao, MM; Wang, C; Bi, C; Ju, XD","Fake news impacts individuals' behavior and decision-making while also disrupting political processes, perceptions of medical advice, and societal trends. Improving individuals' ability to accurately assess fake news can reduce its harmful effects. However, previous research on media literacy interventions designed for improving fake news credibility assessments has yielded inconsistent results. We systematically collected 33 independent studies and performed a meta-analysis to examine the effects of media literacy interventions on assessing fake news credibility (n = 36,256). The results showed that media literacy interventions significantly improved fake news credibility assessments (Hedges' g = 0.53, 95% confidence interval [0.29-0.78], p < 0.001). Gaming interventions were the most effective intervention form. Conversely, the intervention channel, outcome measurement, and subject characteristics (age, gender, and country development level) did not influence the intervention effects.",2024,2024 Apr 1,CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,27,4,240-252,,10.1089/cyber.2023.0324,,#72,Lu 2024,,Review (Intervention)
A digital media literacy intervention for older adults improves resilience to fake news,"Moore, RC; Hancock, JT","Older adults are especially susceptible to fake news online, possibly because they are less digitally literate compared to younger individuals. Interventions for older adults have emerged to improve digital literacy, although there has been little evaluation of their effectiveness in improving older adults' resilience to fake news. We report the results of a digital literacy intervention for older adults administered during the 2020 U.S. election. The intervention was a 1-hour, self-directed series of interactive modules designed to teach concepts and skills for identifying misinformation online. Consistent with our pre-registered hypothesis, older adults (M-age = 67) in the treatment condition (N = 143) significantly improved their likelihood of accurately discerning fake from true news from 64% pre-intervention to 85% post-intervention. In contrast, older adults in the control condition (N = 238) did not significantly improve (from 55% to 57%). The treated older adults were also more likely to employ strategies for identifying misinformation online compared to pre-intervention and the control group.",2022,2022 Apr 9,SCIENTIFIC REPORTS,12,1,,,10.1038/s41598-022-08437-0,,#75,Moore 2022,,Demo - Elderly; Intervention-based Individual
Building resilience to misinformation in communities of color: Results from two studies of tailored digital media literacy interventions,"Lee, AY; Moore, RC; Hancock, JT","Interventions to build resilience to misinformation should consider the needs of communities of color, who experience (mis)information in unique ways. We evaluated digital media literacy interventions to improve misinformation resilience among four communities of color in the United States (Black, Latino, Asian American/Pacific Islander, Native American), which were designed by the nonprofit PEN America and community partner organizations. We assessed intervention efficacy in two studies: (1) a quasi-experimental field study among diverse participants recruited via community outreach and (2) a randomized controlled trial among Latinos recruited via a survey company (total N = 370). Results indicated that participants in both studies improved their comprehension of digital media literacy skills after taking the intervention. However, only those recruited via community outreach improved their ability to accurately identify true and false online news in a behavioral detection task. Our findings highlight the need to consider heterogeneous treatment effects in misinformation interventions, particularly across different communities and intervention contexts.",2024,2024 Feb 29,NEW MEDIA & SOCIETY,,,,,10.1177/14614448241227841,,#91,Lee 2024,,Demo - BIPOC; Intervention-Field; Intervention-lab; Review (Intervention)
Literacy at play: an analysis of media literacy games used to foster media literacy competencies,"Glas, R; van Vught, J; Fluitsma, T; de la Hera, T; Gómez-García, S","Media literacy is considered one of the key competencies to acquire in the 21st century. With games being recognized as having a large potential to train and educate, a wide range of games focusing on media literacy related topics such as fake news games, digital privacy, personal media habits, and practical media skills have sprung up over the years. All claim to foster media literacy skills and competencies. This begs the question how these games generally frame and understand media literacy, what competencies and skills they actually focus on, and through which game design choices. This paper thus asks: how media literacy games are designed to foster media literacy? Taking the Dutch Media Literacy Competencies Model as a departure point, we answer this question using a thematic analysis of 100 media literacy games and formal analysis of a smaller heterogeneous sample consisting of 12 games. We present a series of key findings involving the prominent presence of certain topics and competencies in the dataset, as well as prevalent design choices, allowing for a discussion of the current landscape of literacy games and underlying competencies and future potential for development.",2023,2023 Jun 21,FRONTIERS IN COMMUNICATION,8,,,,10.3389/fcomm.2023.1155840,,#98,Glas 2023,,Review (Intervention); Topic - Game
Experimenting the effect of using visual multimedia intervention to inculcate social media literacy skills to tackle fake news,"Zhang, LL; Iyendo, TO; Apuke, OD; Gever, CV","This study experimented the effect of using visual multimedia intervention to improve users' social media literacy skills to combat fake news. We carried out a quasi-experiment in one public university in Nigeria and randomly divided 470 participants into equal parts to form a control and experimental group. The respondents in the experimental group were exposed to 8 weeks of training using visual multimedia to improve their social media literacy skills to fight fake news. We realised that those exposed to social media literacy skills training via visual multimedia demonstrated a better knowledge of social media, better recognition of fake news, a higher tendency to verify information and a lesser inclination to share false news. Implications for research and practice were discussed.",2022,2022 Nov 1,JOURNAL OF INFORMATION SCIENCE,,,,,10.1177/01655515221131797,,#102,Zhang 2022,,Demo - University; Domain - Social Media; Intervention Formal (classroom); Intervention-lab; Non US
Fighting misinformation in college: students learn to search and evaluate online information through flexible modules,"McGrew, S; Chinoy, I","Purpose - College students need more support learning to effectively search for and evaluate online information. Without such skills, students are vulnerable to mis- and disinformation that may appear in their search results, Web browsing and social media feeds. This study investigated four short instructional modules four short instructional modules that were developed to be delivered asynchronously to teach effective approaches to online search and evaluation.
 Design/methodology/approach - This exploratory study analyzed pre- and post-tests that students in two journalism courses completed before and after the modules. A total of 29 students completed written versions of the pre- and post-tests and 8 students participated in interviews in which they thought aloud while completing the pre- and post-tests. Written and oral responses were analyzed to understand students' search and evaluation strategies and how, if at all, these shifted from pre- to post-test.
 Findings - From pre- to post-test, students showed evidence of using strategies that were introduced in the modules to search for and evaluate online content. On the post-test, more students engaged in lateral reading to evaluate unfamiliar websites. used search operators and tools and more critically evaluated elements of the search engine results page.
 Originality/value - This study provides initial, positive evidence for the efficacy of embedding short, asynchronous modules in college courses to improve student& approaches to online searches and evaluations. College students need such support and modules like the ones investigated in this study may be one way to provide it.",2022,2022 Jan 27,INFORMATION AND LEARNING SCIENCES,,,,,10.1108/ILS-09.2021-0081,,#112,McGrew 2022,,Demo - University; Intervention Formal (classroom); Intervention-based Individual; Intervention-lab
"Countering Misinformation Evidence, Knowledge Gaps, and Implications of Current Interventions","Roozenbeek, J; Culloty, E; Suiter, J","Developing effective interventions to counter misinformation is an urgent goal, but it also presents conceptual, empirical, and practical difficulties, compounded by the fact that misinformation research is in its infancy. This paper provides researchers and policymakers with an overview of which individual-level interventions are likely to influence the spread of, susceptibility to, or impact of misinformation. We review the evidence for the effectiveness of four categories of interventions: boosting (psychological inoculation, critical thinking, and media and information literacy); nudging (accuracy primes and social norms nudges); debunking (fact-checking); and automated content labeling. In each area, we assess the empirical evidence, key gaps in knowledge, and practical considerations. We conclude with a series of recommendations for policymakers and tech companies to ensure a comprehensive approach to tackling misinformation.",2023,2023 Jul,EUROPEAN PSYCHOLOGIST,28,3,189-205,,10.1027/1016-9040/a000492,,#114,Roozenbeek 2023,,Review (Intervention); Topic - Conceptual
Helping young students cope with the threat of fake news: efficacy of news literacy training for junior-secondary school students in Hong Kong,"Ku, KYL; Fung, TMY; Au, ACY; Choy, AYO; Kajimoto, M; Song, YY","As fake news proliferates, to the urgency to educate young students in news literacy grows. Research indicates that while young adolescent students recognize the detrimental impact that fake news has on society, they lack the knowledge and motivation to combat it. We conducted news literacy training with 101 Hong Kong students (aged 11 to 14) evaluating their news literacy, susceptibility to fake news, perceived responsibility, as well as motivation to engage in protective behaviours. The training significantly enhanced participants' news media knowledge, perceived control, and reduced their vulnerability to fake news. Participants became more motivated to report fake news, warn others, suggest alternative sources, and manage preferences to filter our problematic news sources. Participants also demonstrated an improved ability to evaluate the credibility of a real-world news article. These findings demonstrate the effectiveness of the training for this age group and suggest its potential for implementation in junior secondary-school classrooms.",2023,2023 Dec 23,EDUCATIONAL STUDIES,,,,,10.1080/03055698.2023.2296345,,#123,Ku 2023,,Demo - Youth; Intervention Formal (classroom); Intervention-based Social; Non US
Media and digital literacy gamified. Go Viral! against scientific misinformation,"Morejón-Llamas, N","Scientific misinformation has grown during the Covid-19 pandemic. To reduce the impact of false information, serious games are emerging that aim to make young people media and digitally literate through gamification. The main objective of this work is to analyse the potential of the Go Viral! edugame in terms of its journa-listic quality and design in order to detect the advantages of its implementation in different social contexts. The methodology used is based on a discursive and content analysis used in the study of other newsgames. The results indicate that this game, based on psychological inoculation, effectively allows the user to know how misinformation is created in networks, how it is increased by echo chambers and what tools are necessary to create a network community from the point of view of from the disinformer's point of view, thanks to the transmission of data, contextualization, awareness, interaction and stimulation to action. Although its journalistic quality is limited; the content, the architecture and the design indicate advantages that favor the reduction of disinformation noise as mechanisms to bury the echo chambers created in social networks. Although it cannot be presented as a single effective vehicle to combat scientific misinformation, it can become a valid instrument alongside others such as awareness campaigns, educational resources launched by institutions and the regulation of digital platforms.",2023,2023 Jan,ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION,,25,27-50,,10.6035/adcomunica.5554,,#125,Morejón-Llamas 2023,,Topic - Game
The role of social media literacy in infodemic management: a systematic review,"Ziapour, A; Malekzadeh, R; Darabi, F; Yildirim, M; Montazeri, N; Kianipour, N; Nejhaddadgar, N","Background The term infodemic refers to the proliferation of both accurate and inaccurate information that creates a challenge in identifying trustworthy and credible sources. Among the strategies employed to mitigate the impact of the infodemic, social media literacy has emerged as a significant and effective approach. This systematic review examines the role of social media literacy in the management of the infodemic.Methods Six databases, including SID, Magiran, Scopus, PubMed, Google Scholar and Web of Science were systematically searched using relevant keywords. We included the relevant publications between 2012 and 2023 in our analysis. To ensure a qualitative assessment of the studies, we used the STROBE and AMSTAR checklists as evaluation tools. The Preferred Reporting Items for Systematic Reviews (PRISMA) guideline was used for the design of this review study. Finally, we organized the studies into groups based on similarities and retrieved and analyzed evidence pertaining to the challenges and opportunities identified.Results Eleven papers were included in this study after reviewing the retrieved studies. Five of them examined the effect of social media literacy and health literacy on acceptance of health behaviors. Four studies investigated the role of media literacy in managing misinformation and fake news related to health. Two studies focused on infodemic management and promoting citizen engagement during health crises. Results showed that health-related infodemics are derived from the users' lack of media knowledge, distrust of government service systems, local influencers and peers, rapid circulation of information through mass media messages, weakness of solutions proposed by health care providers, failure to pay attention to the needs of the audience, vertical management, and inconsistency of published messages.Conclusion The findings of this study highlight the importance of increasing social media literacy among the general public as a recognized strategy for managing the infodemic. Consequently, it is recommended that relevant organizations and institutions, such as the Ministry of Health, develop targeted training programs to effectively address this need.",2024,2024 Feb 14,FRONTIERS IN DIGITAL HEALTH,6,,,,10.3389/fdgth.2024.1277499,,#126,Ziapour 2024,,Domain-Health; Review (Intervention)
A Quasi Experiment on the Effectiveness of Social Media Literacy Skills Training for Combating Fake News Proliferation,"Xu, X; Huang, YN; Apuke, OD","This study experimented the effect of social media literacy skills training as an intervention strategy for combating fake news. We carried out a quasi-experiment in one public university in Nigeria and randomly divided 480 participants into equal parts to form a control and experimental group. The respondents in the experimental group were exposed to 8 weeks of training to improve their social media literacy skills to fight fake news. We realised that social media literacy skills training is effective in increasing social media knowledge, users' recognition of fake news, their tendency to verify information, and reduce the inclination to share false news since users exposed to social media literacy training can differentiate between accurate and made-up news compared to their counterparts who were not exposed to the same training. Implications for research and practice were discussed.",2024,2024 Feb 13,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,,,,,10.1080/10447318.2024.2311973,,#139,Xu 2024,,Demo - University; Intervention Formal (classroom); Intervention-lab; Non US
Evaluating Video Games as Tools for Education on Fake News and Misinformation,"Contreras-Espinosa, RS; Eguia-Gomez, JL","Despite access to reliable information being essential for equal opportunities in our society, current school curricula only include some notions about media literacy in a limited context. Thus, it is necessary to create scenarios for reflection on and a well-founded analysis of misinformation. Video games may be an effective approach to foster these skills and can seamlessly integrate learning content into their design, enabling achieving multiple learning outcomes and building competencies that can transfer to real-life situations. We analyzed 24 video games about media literacy by studying their content, design, and characteristics that may affect their implementation in learning settings. Even though not all learning outcomes considered were equally addressed, the results show that media literacy video games currently on the market could be used as effective tools to achieve critical learning goals and may allow users to understand, practice, and implement skills to fight misinformation, regardless of their complexity in terms of game mechanics. However, we detected that certain characteristics of video games may affect their implementation in learning environments, such as their availability, estimated playing time, approach, or whether they include real or fictional worlds, variables that should be further considered by both developers and educators.",2023,2023 Sep,COMPUTERS,12,9,,,10.3390/computers12090188,,#150,Contreras-Espinosa 2023,,Review (Intervention); Topic - Game
Fighting fake news on social media: a comparative evaluation of digital literacy interventions,"Alon, AT; Rahimi, ID; Tahar, H","Effective digital literacy interventions can positively influence social media users' ability to identify fake news content. This research aimed to (a) introduce a new experiential training digital literacy intervention strategy, (b) evaluate the effect of different digital literacy interventions (i.e., priming critical thinking and an experiential training exercise) on the perceived accuracy of fake news and individuals' subsequent online behavioral intentions, and (c) explore the underlying mechanisms that link various digital literacy interventions with the perceived accuracy of fake news and online behavioral intentions. The authors conducted a study, leveraging online experimental data from 609 participants. Participants were randomly assigned to different digital literacy interventions. Next, participants were shown a Tweeter tweet containing fake news story about the housing crisis and asked to evaluate the tweet in terms of its accuracy and self-report their intentions to engage in online activities related to it. They also reported their perceptions of skepticism and content diagnosticity. Both interventions were more effective than a control condition in improving participants' ability to identify fake news messages. The findings suggest that the digital literacy interventions are associated with intentions to engage in online activities through a serial mediation model with three mediators, namely, skepticism, perceived accuracy and content diagnosticity. The results point to a need for broader application of experiential interventions on social media platforms to promote news consumers' ability to identify fake news content.",2024,2024 Feb 5,CURRENT PSYCHOLOGY,,,,,10.1007/s12144-024-05668-4,,#164,Alon 2024,,Intervention-lab; Review (Intervention)
Can an online educational game contribute to developing information literate citizens?,"Yang, S; Lee, JW; Kim, HJ; Kang, M; Chong, E; Kim, EM","This study began with concerns about mis-/disinformation in the new media environment as we sought ways to combat unreliable information. We developed an online educational game designed to enhance core media and information literacy competencies and to help young adults become information literate citizens. We examined the game's effects on skepticism toward online information and information discernment skills, two of the most important MIL competencies. In an online experiment, a total of 210 participants between 20 and 29 years of age were randomly assigned to one of three groups: the game group that played the developed online game, the quiz group that completed a quiz with no game element, and the control group that did not receive any treatment. Before treatment, the participants' perceived levels of intellectual civic skills were measured with a pre-questionnaire. After treatment, skepticism toward online information and information discernment skills as learning outcomes were measured with survey items on skepticism toward online information and an information discernment skills test, respectively. The results showed that the game effectively enhanced the cognitive aspect of media and information literacy (information discernment skills), but not the attitudinal aspect (skepticism toward online information). In addition, the game was found to be effective regardless of the participant's perceived level of intellectual civic skills, while quiz with no game element was found to be effective only when the participant's perceived level of intellectual civic skills was high. These findings demonstrate the importance of digital game-based intervention as an educational resource. We extend our discussion to the advantages and limitations of games in fostering learners' abilities to evaluate online information.",2021,2021 Feb,COMPUTERS & EDUCATION,161,,,,10.1016/j.compedu.2020.104057,,#171,Yang 2021,,Intervention-based Individual; Intervention-lab; Non US; Topic - Game
A tale about facts and opinions: The impact of a drama intervention on middle-school students' information literacy,"Taerning, B; Ternblad, EM; Gulz, A; Haake, M","Today, huge amounts of data are produced, collected, and presented in all kinds of contexts. The ability to critically examine and evaluate information and arguments in relation to empirical evidence is often referred to as information literacy. It is of utmost importance that students are adequately scaffolded to develop this ability, to be able to become democratic citizens. The study presented combines learning science and drama to explore whether this approach can make 6 grade students more aware of certain aspects of information literacy, such as false balance, the burden of proof, and filter bubbles. Half of the students watched a play and participated in a pedagogical follow-up before answering a questionnaire. The other half answered the questionnaire before the intervention. Results show that students watching the play had grasped the core of the more tangible questions, writing more elaborated and relevant answers than students in the control group.",2023,2023 SUM,INTERACTION DESIGN AND ARCHITECTURES,,57,65-81,,,,#179,Taerning 2023,,
"Combatting Visual Fake News with a Professional Fact-Checking Tool in Education in France, Romania, Spain and Sweden","Nygren, T; Guath, M; Axelsson, CAW; Frau-Meigs, D","Educational and technical resources are regarded as central in combating disinformation and safeguarding democracy in an era of 'fake news'. In this study, we investigated whether a professional fact-checking tool could be utilised in curricular activity to make pupils more skilled in determining the credibility of digital news and to inspire them to use digital tools to further their transliteracy and technocognition. In addition, we explored how pupils' performance and attitudes regarding digital news and tools varied across four countries (France, Romania, Spain, and Sweden). Our findings showed that a two-hour intervention had a statistically significant impact on teenagers' abilities to determine the credibility of fake images and videos. We also found that the intervention inspired pupils to use digital tools in information credibility assessments. Importantly, the intervention did not make pupils more sceptical of credible news. The impact of the intervention was greater in Romania and Spain than among pupils in Sweden and France. The greater impact in these two countries, we argue, is due to cultural context and the fact that pupils in Romania and Spain learned to focus less on 'gut feelings', increased their use of digital tools, and had a more positive attitude toward the use of the fact-checking tool than pupils in Sweden and France.",2021,2021 May,INFORMATION,12,5,,,10.3390/info12050201,,#180,Nygren 2021,,Demo - Youth; Intervention Formal (classroom); Intervention-Field; Non US
Educative Interventions to Combat Misinformation: Evidence from a Field Experiment in India,"Badrinathan, S","Misinformation makes democratic governance harder, especially in developing countries. Despite its real-world import, little is known about how to combat misinformation outside of the United States, particularly in places with low education, accelerating Internet access, and encrypted information sharing. This study uses a field experiment in India to test the efficacy of a pedagogical intervention on respondents' ability to identify misinformation during the 2019 elections (N = 1,224). Treated respondents received hour-long in-person media literacy training in which enumerators discussed inoculation strategies, corrections, and the importance of verifying misinformation, all in a coherent learning module. Receiving this hour-long media literacy intervention did not significantly increase respondents' ability to identify misinformation on average. However, treated respondents who support the ruling party became significantly less able to identify pro-attitudinal stories. These findings point to the resilience of misinformation in India and the presence of motivated reasoning in a traditionally nonideological party system.",2021,2021 Nov,AMERICAN POLITICAL SCIENCE REVIEW,115,4,1325-1341,,10.1017/S0003055421000459,,#192,Badrinathan 2021,,Domain-Politics; Intervention-lab; Non US
